"","occasionyear","FieldPeriodID","avg_invert"
"1",1987,7,5.08906934631664
"2",1990,12,2.65244281811658
"3",1996,21,5.504502192368
"4",1997,22,6.34906043057842
"5",1998,23,5.83789656882623
"6",1998,25,3.40909704468116
"7",1999,26,1.51550549589335
"8",1999,28,5.15521640609487
"9",2003,30,3.65308711255895
"10",2004,34,3.18841004325798
"11",2005,35,5.85391449056688
"12",2005,37,3.76584093842371
"13",2006,75,3.14873123228241
"14",2007,77,2.69293973167199
"15",2007,82,2.00111878419741
"16",2008,85,1.83148956081149
"17",2008,87,2.59212595036396
"18",2009,90,3.28909595669203
"19",2009,92,4.55094243891926
"20",2010,103,2.94367555463228
"21",2010,104,3.43745237720491
"22",2011,105,9.22112790135102
"23",2011,110,2.58217602138788
"24",2012,116,4.47840260394996
"25",2013,118,4.09578878614323
"26",2013,122,3.25588827134803
"27",2014,124,6.32106875513502
"28",2014,125,4.45790002850407
"29",2015,139,3.03440265886707
"30",2015,142,4.85534727125805
"31",2016,144,2.28246726385627
"32",2016,159,4.21428620244736
"33",2017,161,2.49270946172059
"34",2017,164,11.6117696290016
"35",2018,166,5.90194399427842
"36",2018,167,3.4286236474738
"37",2019,171,2.98437240804918
"38",2019,173,4.91754018114599
"39",2020,174,2.58767040275742
"40",2021,175,5.32664501271832
"41",2021,176,4.46788579255577
"42",2022,177,4.20351862352767
"43",2022,178,3.15933207700952
"44",2023,184,4.43485646140217
"45",2023,186,3.13821827224665
"46",2024,188,2.36948669616031
